filename,state,conf_band,lang_guess,lang_conf,digital_guess,garbled_detected,page_count,size_bytes,file_path
POP- Millets.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Andra Pradesh/POP- Millets.pdf
Paddy Varieties.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Andra Pradesh/Paddy Varieties.pdf
File220_10_202305_00_30PIMG1 (1).pdf,Bihar,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Bihar/File220_10_202305_00_30PIMG1 (1).pdf
1621839815.pdf,Haryana,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Haryana/1621839815.pdf
iZuyuH7I2WG4Ad9uGUBAtch8VD1EZlWxlsAENSVW.pdf,Haryana,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Haryana/iZuyuH7I2WG4Ad9uGUBAtch8VD1EZlWxlsAENSVW.pdf
KharifCrops.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Himachal Pradesh/KharifCrops.pdf
VegetableCrops.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,,21757952,data/POP Bank/Himachal Pradesh/VegetableCrops.pdf
αñòαÑâαñ╖αñ┐αñªαñ░αÑìαñ╢αñ¿αÑÇ αÑ¿αÑªαÑ¿αÑ½_20250507105845.pdf,Maharashtra,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Maharashtra/αñòαÑâαñ╖αñ┐αñªαñ░αÑìαñ╢αñ¿αÑÇ αÑ¿αÑªαÑ¿αÑ½_20250507105845.pdf
August 2018 .pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,,696320,data/POP Bank/Rajasthan/August 2018 .pdf
Bharatpur Krishi Department Rabi Book 2020-21 Total Page 108.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Rajasthan/Bharatpur Krishi Department Rabi Book 2020-21 Total Page 108.pdf
Jodhpur-pop-kharif-2018.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Rajasthan/Jodhpur-pop-kharif-2018.pdf
TVA_BOK_0007040_.pdf,Tamilnadu,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Tamilnadu/TVA_BOK_0007040_.pdf
"The Lost Book of Herbal Remedies (Nicole Apelian Claude Davis, Sr. etc.) (Z-Library).pdf",Tamilnadu,No Detection (0.0),unsure,0.0,False,False,,21495808,"data/POP Bank/Tamilnadu/The Lost Book of Herbal Remedies (Nicole Apelian Claude Davis, Sr. etc.) (Z-Library).pdf"
"Strategy for Doubling Farmer's Income in Uttarakhand, GBPUA&T, Pantnagar.pdf",Uttarakhand,No Detection (0.0),unsure,0.0,False,False,,21495808,"data/POP Bank/Uttarakhand/Strategy for Doubling Farmer's Income in Uttarakhand, GBPUA&T, Pantnagar.pdf"
ManjushaBookPart_I.pdf,Uttarpradesh,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Uttarpradesh/ManjushaBookPart_I.pdf
ManjushaBookPart_II.pdf,Uttarpradesh,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/Uttarpradesh/ManjushaBookPart_II.pdf
2804235830SFP_West _Bengal.pdf,West Bengal,No Detection (0.0),unsure,0.0,False,False,,21495808,data/POP Bank/West Bengal/2804235830SFP_West _Bengal.pdf
