filename,state,conf_band,lang_guess,lang_conf,digital_guess,garbled_detected,page_count,size_bytes,file_path
Insecticide_Triangle_Final.pdf,Maharashtra,Medium (0.5-0.7),indic,0.6149,False,False,1.0,100036,data/POP Bank/Maharashtra/Insecticide_Triangle_Final.pdf
Insecticide_Triangle_Final_v1.pdf,Maharashtra,Medium (0.5-0.7),indic,0.6149,False,False,1.0,100036,data/POP Bank/Maharashtra/Insecticide_Triangle_Final_v1.pdf
POP- Flower crops.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,16.0,862934,data/POP Bank/Andra Pradesh/POP- Flower crops.pdf
POP- Fodder crops.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,28.0,1381881,data/POP Bank/Andra Pradesh/POP- Fodder crops.pdf
POP- Paddy.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,52.0,3619900,data/POP Bank/Andra Pradesh/POP- Paddy.pdf
POP- Pulses.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,22.0,2713603,data/POP Bank/Andra Pradesh/POP- Pulses.pdf
POP- Sunflower.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,12.0,587533,data/POP Bank/Andra Pradesh/POP- Sunflower.pdf
POP- Tomato.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,44.0,2088711,data/POP Bank/Andra Pradesh/POP- Tomato.pdf
Sericulture.pdf,Andra Pradesh,No Detection (0.0),unsure,0.0,False,False,24.0,21212931,data/POP Bank/Andra Pradesh/Sericulture.pdf
POP-Vegetables.pdf,Bihar,No Detection (0.0),unsure,0.0,False,False,88.0,21102059,data/POP Bank/Bihar/POP-Vegetables.pdf
1623646687.pdf,Haryana,No Detection (0.0),unsure,0.0,False,False,1.0,216737,data/POP Bank/Haryana/1623646687.pdf
Package of Practices - Millet Chena.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,8.0,1341113,data/POP Bank/Himachal Pradesh/Package of Practices - Millet Chena.pdf
Package of Practices - Millet Kodra.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,8.0,1520530,data/POP Bank/Himachal Pradesh/Package of Practices - Millet Kodra.pdf
Package of Practices - Millet Ragi.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,8.0,1515315,data/POP Bank/Himachal Pradesh/Package of Practices - Millet Ragi.pdf
Package of Practices - Millet Sawaan.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,8.0,1475020,data/POP Bank/Himachal Pradesh/Package of Practices - Millet Sawaan.pdf
Package of Practices - Millet Swank.pdf,Himachal Pradesh,No Detection (0.0),unsure,0.0,False,False,8.0,1358252,data/POP Bank/Himachal Pradesh/Package of Practices - Millet Swank.pdf
POP Kalazeera.pdf.pdf,Jammu and Kashmir,No Detection (0.0),unsure,0.0,False,False,12.0,728683,data/POP Bank/Jammu and Kashmir/POP Kalazeera.pdf.pdf
Jharkhand PCRT book.pdf,Jharkhand,No Detection (0.0),unsure,0.0,False,False,2.0,21495808,data/POP Bank/Jharkhand/Jharkhand PCRT book.pdf
06062022_order.pdf,Madhya Pradesh,No Detection (0.0),unsure,0.0,False,False,5.0,1762992,data/POP Bank/Madhya Pradesh/06062022_order.pdf
Awards.pdf,Maharashtra,No Detection (0.0),unsure,0.0,False,False,8.0,7688911,data/POP Bank/Maharashtra/Awards.pdf
αñòαñ╛αñùαñªαñ¬αññαÑìαñ░ αñ¬αñíαññαñ╛αñ│αñúαÑÇ αñ¼αñ╛αñ¼αññ...pdf,Maharashtra,No Detection (0.0),unsure,0.0,False,False,4.0,2084291,data/POP Bank/Maharashtra/αñòαñ╛αñùαñªαñ¬αññαÑìαñ░ αñ¬αñíαññαñ╛αñ│αñúαÑÇ αñ¼αñ╛αñ¼αññ...pdf
αñòαñ╛αñùαñªαñ¬αññαÑìαñ░ αñ¬αñíαññαñ╛αñ│αñúαÑÇ αñ¼αñ╛αñ¼αññ.._v1.pdf,Maharashtra,No Detection (0.0),unsure,0.0,False,False,4.0,2084291,data/POP Bank/Maharashtra/αñòαñ╛αñùαñªαñ¬αññαÑìαñ░ αñ¬αñíαññαñ╛αñ│αñúαÑÇ αñ¼αñ╛αñ¼αññ.._v1.pdf
agrimanipur.gov.in_annual-administrative-report-2022-2023.pdf,Manipur,No Detection (0.0),unsure,0.0,False,False,18.0,3619972,data/POP Bank/Manipur/agrimanipur.gov.in_annual-administrative-report-2022-2023.pdf
rkb-odisha.in-Rice Farming in Odisha.pdf,Odisha,No Detection (0.0),unsure,0.0,False,False,52.0,405793,data/POP Bank/Odisha/rkb-odisha.in-Rice Farming in Odisha.pdf
636990407920799387-78f9bb87-5a78-41ca-9ce6-b5e5b227aa1a16._Package_of_Practices_of_Cotton_Cultivation.pdf,POPs Multiple States,No Detection (0.0),unsure,0.0,False,False,8.0,3810345,data/POP Bank/POPs Multiple States/636990407920799387-78f9bb87-5a78-41ca-9ce6-b5e5b227aa1a16._Package_of_Practices_of_Cotton_Cultivation.pdf
3660_Talking_Healing.pdf,Punjab,No Detection (0.0),unsure,0.0,False,False,35.0,5859735,data/POP Bank/Punjab/3660_Talking_Healing.pdf
FruitNutritionGarden.pdf,Punjab,No Detection (0.0),unsure,0.0,False,False,8.0,9499632,data/POP Bank/Punjab/FruitNutritionGarden.pdf
FruitNutritionGardenP.pdf,Punjab,No Detection (0.0),unsure,0.0,False,False,8.0,3980869,data/POP Bank/Punjab/FruitNutritionGardenP.pdf
GALLERY_compressed.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,2.0,189748,data/POP Bank/Rajasthan/GALLERY_compressed.pdf
IMG-20241129-WA0005.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,1.0,146390,data/POP Bank/Rajasthan/IMG-20241129-WA0005.pdf
enlarged-view.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,1.0,833614,data/POP Bank/Rajasthan/enlarged-view.pdf
jodhpur_pop-rabi_2016-17.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,2.0,21495808,data/POP Bank/Rajasthan/jodhpur_pop-rabi_2016-17.pdf
sc-st-cell.pdf,Rajasthan,No Detection (0.0),unsure,0.0,False,False,1.0,407803,data/POP Bank/Rajasthan/sc-st-cell.pdf
Aayush_AyurvedaOffering_HerbalHealing.pdf,Tamilnadu,No Detection (0.0),unsure,0.0,False,False,128.0,3017185,data/POP Bank/Tamilnadu/Aayush_AyurvedaOffering_HerbalHealing.pdf
BlackPepper.pdf,Tamilnadu,No Detection (0.0),unsure,0.0,False,False,18.0,5981638,data/POP Bank/Tamilnadu/BlackPepper.pdf
MoEFCC OM dt 01092025 - GCP Revised Modalities_250902_124011.pdf,Tamilnadu,No Detection (0.0),unsure,0.0,False,False,24.0,1280244,data/POP Bank/Tamilnadu/MoEFCC OM dt 01092025 - GCP Revised Modalities_250902_124011.pdf
Holiday_list_2022.pdf,Uttarpradesh,No Detection (0.0),unsure,0.0,False,False,2.0,939473,data/POP Bank/Uttarpradesh/Holiday_list_2022.pdf
fssai.pdf,Uttarpradesh,No Detection (0.0),unsure,0.0,False,False,1.0,283505,data/POP Bank/Uttarpradesh/fssai.pdf
fssai_v1.pdf,Uttarpradesh,No Detection (0.0),unsure,0.0,False,False,1.0,283505,data/POP Bank/Uttarpradesh/fssai_v1.pdf
POP-Winter Maize.pdf,Bihar,Very Low (<0.3),unsure,0.1147,False,False,6.0,6255773,data/POP Bank/Bihar/POP-Winter Maize.pdf
agriwebsite_seed_Mr.pdf,Maharashtra,Very Low (<0.3),unsure,0.084,False,False,2.0,495767,data/POP Bank/Maharashtra/agriwebsite_seed_Mr.pdf
