file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Andra Pradesh/POP- Betelvine.pdf,Andra Pradesh,51734,fc524bbb8ad21ee2269bd3ab4a69382d,4.0,digital_en,len=3808 lang=qu score=-16356.47 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Coconut.pdf,Andra Pradesh,306898,3fbf8b453cb31efcc02764e53a838e1f,40.0,digital_en,len=6291 lang=qu score=-18746.98 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Mango 1.pdf,Andra Pradesh,206473,bfaf55dd308fe951ef919ad91310ebfb,8.0,digital_en,len=6183 lang=qu score=-17647.22 decision=digital_threshold,pending,True,indic,osd,0.8,unsure;indic,True
data/POP Bank/Andra Pradesh/POP- Mango.pdf,Andra Pradesh,143134,c55a74db88345469760ed7974d0bdc61,8.0,digital_en,len=6271 lang=qu score=-17053.19 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Onion.pdf,Andra Pradesh,55443,34cd7fae542326c75c06f9fcd83ba68b,2.0,digital_en,len=3564 lang=qu score=-15295.50 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Papaya.pdf,Andra Pradesh,85285,af2fd1c0d3e7af896a86a04d6a8c6a90,4.0,digital_en,len=3987 lang=qu score=-17319.27 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Pomegranate.pdf,Andra Pradesh,221765,0307199779f9d8ae50c9a1b2b5e576d7,2.0,digital_en,len=4267 lang=qu score=-18811.03 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Turmeric.pdf,Andra Pradesh,59618,61bfc200df43996d52f9556b3f1234f4,4.0,digital_en,len=5152 lang=qu score=-18127.35 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/ABPC-4-3.pdf,Maharashtra,168785,2b88e1fa57eefc33401c82a880e7274d,2.0,digital_en,len=3591 lang=am score=-24866.88 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/AHB-1200.pdf,Maharashtra,205932,4edcb11b5e3cee393a44fc20011fe24e,2.0,digital_en,len=3595 lang=am score=-24927.03 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/AHB-1269.pdf,Maharashtra,193411,898c8f75fdd719ef1a28679375e30203,2.0,digital_en,len=3585 lang=am score=-24891.21 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/AHB-1666.pdf,Maharashtra,93026,5d679532af12d98b406eaeb287976eab,2.0,digital_en,len=3700 lang=am score=-25299.76 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
