file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Andra Pradesh/Cotton_v1.pdf,Andra Pradesh,231056,d3bae86b3cf27ac26fbac8796124c348,9.0,digital_en,len=7512 lang=en score=-3743.77 decision=digital_threshold,pending,True,en,osd,0.7456,unsure;en,False
data/POP Bank/Andra Pradesh/Improved Horticultural crop varieties.pdf,Andra Pradesh,5432602,9c2cbe1ce58ad3b4785fa699aea93316,70.0,digital_en,len=3211 lang=en score=-5737.01 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Betelvine.pdf,Andra Pradesh,51734,fc524bbb8ad21ee2269bd3ab4a69382d,4.0,digital_en,len=3808 lang=qu score=-16356.47 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Chilli.pdf,Andra Pradesh,991403,822ea34dfe84534411c08986cecb4bfb,20.0,digital_en,len=3960 lang=qu score=-17787.31 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Coconut.pdf,Andra Pradesh,306898,3fbf8b453cb31efcc02764e53a838e1f,40.0,digital_en,len=6291 lang=qu score=-18746.98 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Flower crops.pdf,Andra Pradesh,862934,a3cc603a448293d04f9af08d92c22c1b,16.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Fodder crops.pdf,Andra Pradesh,1381881,11d08d99bd6363f62a55486c0501b6a8,28.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Guava.pdf,Andra Pradesh,776292,361b758b49a8f6f804c85e3e18c502a1,36.0,digital_en,len=3219 lang=qu score=-15491.51 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Mango 1.pdf,Andra Pradesh,206473,bfaf55dd308fe951ef919ad91310ebfb,8.0,digital_en,len=6183 lang=qu score=-17647.22 decision=digital_threshold,processed,True,indic,osd,0.8,unsure;indic,True
data/POP Bank/Andra Pradesh/POP- Mango 2.pdf,Andra Pradesh,940605,fcf19399a16ca593807cdf29544379ab,60.0,digital_en,len=3920 lang=qu score=-19300.88 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Mango.pdf,Andra Pradesh,143134,c55a74db88345469760ed7974d0bdc61,8.0,digital_en,len=6271 lang=qu score=-17053.19 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Millets.pdf,Andra Pradesh,21757952,bfe0877c239a35fa04f864f22a0f2bb1,,error,parse_error=negative seek value -1,pending,False,unsure,osd,0.0,,False
data/POP Bank/Andra Pradesh/POP- Onion.pdf,Andra Pradesh,55443,34cd7fae542326c75c06f9fcd83ba68b,2.0,digital_en,len=3564 lang=qu score=-15295.50 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Paddy.pdf,Andra Pradesh,3619900,12fdb572b3cdc5b0fcd84bc2d3ec91c2,52.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Papaya.pdf,Andra Pradesh,85285,af2fd1c0d3e7af896a86a04d6a8c6a90,4.0,digital_en,len=3987 lang=qu score=-17319.27 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Pomegranate.pdf,Andra Pradesh,221765,0307199779f9d8ae50c9a1b2b5e576d7,2.0,digital_en,len=4267 lang=qu score=-18811.03 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Pulses.pdf,Andra Pradesh,2713603,8c94a2b89a112c33a31e07f410daa576,22.0,scanned_en,len=19 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Sunflower.pdf,Andra Pradesh,587533,2d25f01fe749d098334716085cbbc911,12.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Tomato.pdf,Andra Pradesh,2088711,923f6c0aef6812f6c89ca1dc8fe43bf5,44.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/POP- Turmeric.pdf,Andra Pradesh,59618,61bfc200df43996d52f9556b3f1234f4,4.0,digital_en,len=5152 lang=qu score=-18127.35 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Andra Pradesh/POP- Wine Grape.pdf,Andra Pradesh,2764949,3faa267586623ef828a67e8a8cde32f9,36.0,digital_en,len=2745 lang=en score=-4974.73 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Andra Pradesh/Paddy Varieties.pdf,Andra Pradesh,21757952,4695d9548dcefbb652a55dab96de540c,,error,parse_error=EOF marker not found,pending,False,unsure,osd,0.0,,False
data/POP Bank/Andra Pradesh/Sericulture.pdf,Andra Pradesh,21212931,23bd7ebd6134e340af1c79addfe61d3f,24.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Arunachal Pradesh/POP-Spices Crops.pdf,Arunachal Pradesh,2028859,04dc99bb6c801e25739bad8dbe3bfcff,31.0,digital_en,len=6029 lang=en score=-7612.00 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Bihar/File220_10_202305_00_30PIMG1 (1).pdf,Bihar,21757952,570de63d83078db0c8bc727d303abdd7,,error,parse_error=negative seek value -1,pending,False,unsure,osd,0.0,,False
data/POP Bank/Bihar/POP-Vegetables.pdf,Bihar,21102059,713d8e88c11c9aaeaf267516172b6dfe,88.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Bihar/POP-Winter Maize.pdf,Bihar,6255773,7811fa9b0e4de9c280fe4b58c240be9b,6.0,scanned_en,len=129 lang=da score=-72.07 decision=scanned_low_text,pending,False,unsure,osd,0.1147,unsure;unsure,False
data/POP Bank/Bihar/Tuber-Crops-αñòαñéαñªαÑÇαñ»-αñ½αñ╕αñ▓αÑçαñé.pdf,Bihar,1064398,1f9b9ed88551146aa5af2009442cba9b,9.0,digital_en,len=7620 lang=en score=-6663.05 decision=digital_threshold,pending,True,unsure,osd,0.3428,en;indic,False
