source_name,link
Repository of Advisory POPs folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/zotk894e4c8cd1c2b40ef9bdfdd4bd39d316f?sfid=5ez6i17f7f720fd0f4dcaa9960915d73cdfd9
Insecticides for Paddy Crop,https://fertiliserindia.com/insecticide-for-paddy-crop/
,https://workdrive.zoho.in/folder/zu51z048426b28a4e4de6a4311da92bf93942
Rice Varieties,https://rice-garud.icar-web.com/varieties.php
,https://workdrive.zoho.in/folder/zu51z97a024a8e58c420d8c6043f21a1ccde5
POP Rapeseed and Mustard Punjab folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/qq0vw6da65d8ac8cc475d976a4b6ee1a40144
POP Barley Madhya Pradesh folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/jzztx8db599eddf074b0786415d9204e333fb?sfid=
,https://www.iffco.in/en/potassium-nitrate
,https://www.icar.org.in/sites/default/files/2022-09/Rabi-Agro-Advisory-2021-22_0.pdf
"Sowings and other practices across zones of India
Crop Season 2024-25 (IIWBR)",https://iiwbr.org.in/wp-content/uploads/2025/01/Advisory-to-wheat-farmers-January-1-15-2025.pdf
DIRECTORATE OF PULSES DEVELOPMENT Report : 2019-20,https://dpd.gov.in/NLMT%20Report%20Rabi%20-2019-20.pdf
Crop Protection - Termite (Wheat),https://termitexpert.in/page.php?pageid=93
,https://www.kvkmuktsar.com/
,https://www.kvkmuktsar.com/contact-us.html
Crop Protection TNAU - Chilli Thrips,https://agritech.tnau.ac.in/crop_protection/crop_prot_crop_insect-veg_chillies_pest&disease.html
Crop Protection TNAU - Tomato Whitefly,https://agritech.tnau.ac.in/crop_protection/tomato/tomato_4.html
Insecticide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/1._mup_insecticide_03.04.2025.pdf
POP PAU Rabi crops 2025-26,https://drive.google.com/file/d/1zcJ_9vNIa4fcJ476bUq-qkoL0agk0TJi/view?usp=sharing
,https://www.pau.edu/content/ccil/pf/pp_rabi.pdf
Herbicide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/4._herbicides_mup_as_on_31.03.2025.pdf
,https://www.ppqs.gov.in/sites/default/files/1._mup_insecticide_03.04.2025.pdf
,https://www.iffco.in/en/nano-dap-liquid?
Fungicide list 2025 - PPQS,https://ppqs.gov.in/sites/default/files/2._chemical_mup_as_on_31.03.2025.pdf
,https://www.pau.edu/index.php?_act=manageContactUs&DO=contactUs
,https://workdrive.zoho.in/folder/p39vw7b4d3d2bf0a14e8daeed1ed1383aaa53
PMFBY,https://pmfby.gov.in/
,https://www.cropscience.bayer.in/en/improve-yield/seed-growth-en/gaucho
,https://www.indiacustomercare.com/madhya-pradesh-state-seed-certification-agency-contact-no?
,https://workdrive.zoho.in/folder/kqvfr4920cba0cbda4118ba30ce27227d8fdf
mKisan - Farmer Registration,https://mkisan.gov.in/Home/FarmerRegistration
Contact nos. PAU,https://farmerportal.pau.edu/contact.php
PAU - Home page,https://pauwp.pau.edu/
POP Wheat Madhya Pradesh folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/zotk8f26a4449f10342459f4ffa8eb0166ab4
POP Barley Madhya Pradesh folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/qq0vw67aef6dcb9b74d1299736b8d30452747?sfid=
POP Paddy - TNAU,https://agritech.tnau.ac.in/govt_schemes_services/aas/paddy.html
,https://workdrive.zoho.in/folder/zu51z3e4e6d3963c949e9b4be58db558de5b5
,https://workdrive.zoho.in/folder/zu51z49207ef408e24c359836b06cc3ee30de
,https://workdrive.zoho.in/folder/zu51za043d5e06d5a4581bde8b65aed2749c3?layout=list
,https://workdrive.zoho.in/folder/0vc13a295ccb6ae9d474298d8f3343f02437f?layout=list
,https://www.kiran.nic.in/pdf/Agri-Kaleidoscope/NICRA/NICRA%20Rice%20English.pdf?
